Player,teamID,IP,k.rate,bb.rate,BABIP,era,FIP,year
Kamron Koplitz,DBQ,56.2,19,6.7,0.354,4.87,3.3,2007
Michael Barta,BVU,50,11.3,10,0.366,5.4,3.56,2007
Tad Barry,COR,51.1,17.1,8,0.329,5.58,3.98,2007
Jared Sass,SIM,49,10.2,7.8,0.341,5.96,2.67,2007
Brad Joniec,LOR,5.2,5.3,7.2,0.344,6.8,2.46,2007
Jordan DeGeorge,COE,1,25,5,0.267,0,-0.07,2007
TJ Miller,BVU,1,0,16.7,0.333,0,5.49,2007
Sean Ransick,COR,0.1,0,0,0.4,0,0,2007
Christopher Jones,DBQ,18.2,0,50,1,0,54.93,2007
Jeff Greenwald,COR,7,16.4,16.4,0.311,2.41,3.45,2007
Galen Daniels,SIM,13,10.3,20.7,0.346,2.57,5.78,2007
Josh Nalan,LUT,21,12.5,20.8,0.244,2.77,5.65,2007
Kyle Flatten,LUT,10.1,31.7,4.9,0.464,3.43,0.12,2007
Tim Bolten,SIM,25.2,2.4,2.4,0.35,3.48,0.43,2007
Nick Viet,BVU,9.1,16.3,8.7,0.36,3.51,2.84,2007
Quince Springer,COE,36.2,18.4,18.4,0.323,3.86,5.14,2007
Danny Rose,WAR,11,17,9.5,0.331,3.93,2.78,2007
Justin Stoffa,SIM,4.1,10.6,8.5,0.429,4.09,2.46,2007
Adam Harrington,COR,18,0,28.6,0.214,4.15,5.36,2007
Darin Schneider,LUT,8,28.8,11,0.333,4.5,2.19,2007
Chris Handke,COR,4,7.4,25.9,0.125,4.5,9.07,2007
Matt Bissen,BVU,36.1,5.3,21.1,0.389,4.5,5.2,2007
Jake Ritchey,SIM,13.1,12.9,10.3,0.361,4.71,3.5,2007
Luke Goemaat,SIM,28.1,17.7,14.5,0.431,4.72,4.47,2007
Kyle Fuerstenberg,CEN,9.1,9.3,17.6,0.292,4.76,5.5,2007
Pat Thostenson,LOR,12.2,11.1,5.6,0.375,4.82,1.3,2007
Jeff Riddle,LUT,16,16.4,7.3,0.435,4.97,2.29,2007
Ryan Grant,WAR,10.2,13.4,7.5,0.414,5.06,1.06,2007
Doug Eisenman,CEN,21,22.5,17.5,0.333,5.06,4.7,2007
Mike Aguilar,LOR,8.2,14.8,11.4,0.338,5.14,4.15,2007
Alex Larson,DBQ,23.2,28.1,15.6,0.318,5.19,5.84,2007
Mike Gaynor,COE,36.2,14.1,11.1,0.388,5.32,2.84,2007
Ted Bouchee,DBQ,1.2,13.8,20,0.331,5.4,5.52,2007
Matt Lampugnano,DBQ,24,28.6,28.6,0.4,5.4,7.2,2007
Jim Lagoni,LOR,35,16.9,32.5,0.265,5.62,6.56,2007
Brick Carter,COE,14,13.9,10.6,0.346,5.66,2.28,2007
Joe Hajduch,SIM,12.1,12.1,17.2,0.34,5.79,5.55,2007
Eric Speer,CEN,20,20.5,18.2,0.314,5.84,3.21,2007
Ben Gander,CEN,3,17.1,15.8,0.419,5.85,3.81,2007
Jake Kuennen,WAR,35.2,15.4,7.7,0.455,6,2.88,2007
Cory Dawson,SIM,29.2,13.2,11.9,0.369,6.06,3.02,2007
Todd Lawler,WAR,20.2,15.5,13.2,0.415,6.07,5.01,2007
Ryan Suttenfield,COR,20.1,9,9,0.346,6.1,5.22,2007
Shane Akers,SIM,26,11.1,6.1,0.443,6.2,1.82,2007
Kyle Runyon,COE,8.2,13.5,10.8,0.344,6.23,5.86,2007
JD Cambron,SIM,7,12.2,17.1,0.417,6.23,5.31,2007
Jeremy Kippley,CEN,4,15.4,15.4,0.286,6.43,5.33,2007
Ryan Schisler,COE,34.1,11.1,5.6,0.333,6.75,5.79,2007
Troy Strom,DBQ,22.2,21.2,23.4,0.39,6.82,6.88,2007
Keaton Sansgaard,SIM,37.2,14.3,11,0.5,7.15,2.78,2007
Zach Mundy,WAR,17,16.1,14.2,0.323,7.17,4.52,2007
Trent Kain,SIM,28.2,16.9,10.4,0.429,7.41,4.16,2007
Alex Fokken,BVU,7,11,12.7,0.35,7.53,3.99,2007
Michael Bartine,COR,17,20,23.3,0.375,7.71,6.84,2007
Mark Blum,BVU,21,8.2,11,0.418,7.94,3.46,2007
Dan Cleary,COR,11,17.4,22.1,0.4,8.14,6.65,2007
Tony Bladel,DBQ,1,11.1,3.7,0.386,8.18,9.13,2007
Curt Graham,SIM,1,0,50,0.5,9,10.99,2007
Andrew Rubly,DBQ,1,25,0,0,9,18.82,2007
Justin Corey,DBQ,1,33.3,16.7,0.75,9,3.15,2007
Ryan Rayhill,COE,29.1,25,0,0.667,9,4.32,2007
Tim Carty,LOR,19.1,10.5,16.9,0.432,9.2,3.63,2007
Justin Shaffer,DBQ,4.1,5.4,9.8,0.376,10.24,4.38,2007
Cody Hyland,LUT,3.1,12.5,20.8,0.368,10.38,18.27,2007
Mike McGivern,WAR,11.1,6.3,12.5,0.385,10.8,17.84,2007
Ryan Dunn,LOR,16.2,16.3,27.9,0.314,11.12,7.99,2007
Nolan Voss,DBQ,2.1,15.9,26.1,0.362,11.34,6.66,2007
Byron Abram,DBQ,5.1,13.3,13.3,0.333,11.57,13.64,2007
Nick Miller,LOR,13.2,8,32,0.435,11.81,12.47,2007
Paul Pichelman,LUT,4.1,8.2,13.1,0.446,11.85,3.72,2007
Chris Jones,SIM,7.2,10.5,15.8,0.563,12.46,8.32,2007
Drew Newhoff,WAR,8,12.5,15.6,0.464,12.91,6.22,2007
Tony Foster,DBQ,2,2.5,17.5,0.359,13.5,8.09,2007
Adam Brink,DBQ,5.2,0,28.6,0.167,13.5,15.49,2007
Rob Simms,CEN,4.1,11.5,38.5,0.364,14.29,16.9,2007
Tregg Fay,BVU,8.2,15,30,0.529,14.54,8.52,2007
Christian Dekker,BVU,8.2,16.3,18.6,0.485,15.58,12.34,2007
Paul Moga,LOR,6.1,7.1,42.9,0.41,16.62,12.3,2007
Jeff Weisenborn,BVU,1,16.7,33.3,0.44,17.05,9.85,2007
Chris Tibbals,CEN,4.1,0,16.7,0.5,18,10.99,2007
Jordan Skaar,DBQ,3,21.7,0,0.5,18.69,1.25,2007
Cody Smith,COE,1.1,17.6,5.9,0.643,21,2.49,2007
Drew Fayram,WAR,1,33.3,50,0.333,27,36.02,2007
Anthony Cozzi,COR,3,0,40,0.4,27,10.99,2007
Nate Parker,BVU,53.1,0,53.3,0.4,33,16.48,2007
Aaron Saeugling,WAR,40.1,20.4,6.5,0.234,1.52,2.18,2008
Paul Pichelmann,LUT,66.2,14.1,9.2,0.27,2.45,2.14,2008
Jake Ritchey,SIM,51.1,17.8,4.5,0.321,2.7,1.52,2008
Christian Dekker,BVU,73.2,30.4,15.7,0.348,2.81,3.47,2008
Brett Mahan,CEN,63,20.1,8.1,0.298,2.81,2,2008
Adam Kohls,LUT,65.2,24.7,7.4,0.305,2.86,0.73,2008
Jared Sass,SIM,50.1,16.5,5.6,0.273,3.15,1.48,2008
Jerrold Martijn,WAR,43.1,22.8,13,0.297,3.58,4.03,2008
Nate Todd,LUT,64.2,11.2,4.5,0.344,3.74,2.03,2008
Billy Schmitt,WAR,55.1,23.7,8.5,0.254,3.9,2.63,2008
Adam Squires,CEN,73.2,19.3,12.8,0.386,3.9,2.55,2008
Cody Doonan,DBQ,49,24,9.7,0.367,3.91,3.17,2008
Joe Nelson,LUT,62.1,20.6,12.6,0.295,4.04,2.54,2008
Trent Kain,SIM,79.1,15.9,9.9,0.351,4.04,2.36,2008
Ryan Nicholson,COE,69,20.7,12.9,0.341,4.08,3.34,2008
Alec Lewis,COE,49.2,21.2,5.8,0.355,4.3,1.24,2008
Dayton Glasgow,CEN,72.2,16.3,7.9,0.377,4.53,2.52,2008
Matt Barilla,LOR,33.1,12.6,4.4,0.366,4.58,3.49,2008
Adam Butler,COR,54,15,15,0.342,4.59,5.99,2008
Casey Korn,COR,68.2,13.6,8.1,0.372,4.67,2.86,2008
Kevin Moriarity,LOR,48.2,20.4,8,0.338,4.85,2.31,2008
Jim Bose,COR,62.2,12,10,0.385,4.99,3.29,2008
Luke Albert,WAR,35,13.9,8.4,0.35,5.03,2.89,2008
Kyle Dupic,BVU,60.1,19.6,9.4,0.336,5.14,2.31,2008
Lee Boyse,COE,57.1,12.3,6.2,0.335,6.27,2.93,2008
Tadd Boals,DBQ,39,13.1,6.1,0.371,6.59,2.91,2008
Nick Lanning,BVU,3.2,7.3,17,0.395,9.46,5.1,2008
Luke Goemaat,SIM,3.1,20,20,0.25,0,4.3,2008
Jeff Riddle,LUT,3.1,36.4,18.2,0.286,0,2.16,2008
Eric Nordstrom,LUT,2.1,11.1,33.3,0.25,0,7.12,2008
Tregg Fay,BVU,2.1,28.6,0,0,0,-1.18,2008
Bobby Orosco,DBQ,2,33.3,50,0,0,7.15,2008
Chris Bireline,BVU,2,0,14.3,0.143,0,2.92,2008
Josh Barber,COE,1,50,50,0,0,4.59,2008
Justin Ramos,DBQ,1,25,0,0.333,0,-1.24,2008
Jon Smith,WAR,1,0,66.7,0,0,11.67,2008
"Alguilar, M",LOR,0.1,33.3,0,0,0,-1.24,2008
Jonny Saar,BVU,18.1,100,0,0,0,-12.44,2008
Brian Kearns,LOR,8.2,23.3,16.4,0.375,0.98,3.02,2008
Jordan Skaar,DBQ,7.1,16.7,11.1,0.367,1.04,2.65,2008
Danny Rose,WAR,17.2,21.7,17.4,0.118,1.23,6.22,2008
Austin Landini,COR,17.2,6.2,9.2,0.164,1.53,3.1,2008
Mike McGivern,WAR,29,19.4,9,0.259,1.53,1.77,2008
Mike Gaynor,COE,3.2,13.4,5.2,0.167,1.55,1.65,2008
Justin Stoffa,SIM,11.2,18.8,25,0.308,2.45,7.95,2008
Nate Rost,WAR,32,12.5,10,0.229,3.09,3.09,2008
Keaton Sansgaard,SIM,5.2,17.8,11,0.323,3.09,3.31,2008
Caleb Rangel,CEN,5.1,25,5,0.267,3.18,2.17,2008
David Bartine,COR,38,8.3,8.3,0.318,3.38,1.8,2008
Kyler Laurie,LOR,5,9.8,9.8,0.288,3.55,3.66,2008
Tad Barry,COR,41.2,16.7,33.3,0.2,3.6,6.25,2008
Brad Joniec,LOR,9.2,10.4,4.9,0.27,3.67,3.9,2008
Shane Akers,SIM,16.1,14.9,6.4,0.359,3.72,3.26,2008
Joe Hajduch,SIM,2.1,18.3,13.3,0.313,3.86,3.37,2008
Alex Larson,DBQ,18.1,12.5,25,0.143,3.86,7.74,2008
Mark Blum,BVU,13.2,11.6,10.1,0.2,3.93,5.13,2008
Jake Kuennen,WAR,19.2,7.5,5.7,0.354,3.95,3.44,2008
Andy Crane,DBQ,12.1,16.2,14.9,0.323,4.12,3.78,2008
Ben Gander,CEN,12,15.7,5.9,0.405,4.38,2.86,2008
Matt Bissen,BVU,12,13.7,5.9,0.357,4.5,5.73,2008
Kevin Baranowski,COE,6,20,15.6,0.306,4.5,3.44,2008
Devon Archibald,BVU,4,4.2,4.2,0.261,4.5,2.71,2008
Adam Harrington,COR,9.1,6.3,6.3,0.333,4.5,1.15,2008
Byron Abram,DBQ,9.1,30.3,27.3,0.227,4.82,9.3,2008
David de Besche,COR,18.1,30.8,10.3,0.444,4.82,2.85,2008
Brandon Pietrzyk,BVU,28.1,16.2,17.6,0.377,4.91,5.83,2008
Jeremy Kippley,CEN,8.2,9.5,17.1,0.312,5.08,5.43,2008
John Rankin,SIM,1.2,16.1,6.5,0.308,5.19,0.66,2008
Marshall Nelson,LUT,31.1,11.1,33.3,0.375,5.4,18.41,2008
Cody Hyland,LUT,16.1,23.7,18.4,0.267,5.46,4.85,2008
Tony Bladel,DBQ,16.1,14.3,17.1,0.333,5.51,5.02,2008
Tom Keesy,WAR,6.1,16.4,13.1,0.32,5.51,5.26,2008
Brandon Harrison,SIM,25,14.7,2.9,0.448,5.68,1.85,2008
Max Flaig,LUT,41.2,7,12,0.344,5.76,3.15,2008
Tim Carty,LOR,25,10.7,13.1,0.362,5.83,3.37,2008
Steve Johnston,BVU,11.2,17.2,20.2,0.329,6.12,7.3,2008
Cory Dawson,SIM,23,23.4,12.8,0.361,6.17,1.9,2008
Brock Yotty,COE,23,11.7,14.9,0.349,6.26,3.72,2008
Cody Aldrich,BVU,27,10.2,12.2,0.349,6.26,6.38,2008
Kristofer Ozga,CEN,14.2,22,10.2,0.396,6.67,3.26,2008
Dan Murphy,SIM,4,14.5,6.5,0.396,6.75,0.85,2008
Justin Shaffer,DBQ,2.2,18.8,25,0.333,6.75,10.21,2008
Chris Handke,COR,2.2,12.5,75,0.286,6.75,20.64,2008
Josh Nalan,CEN,27.1,8.3,0,0.4,6.75,9.08,2008
Teren Bladel,COE,5,16.8,19.8,0.286,6.91,9.65,2008
Galen Daniels,SIM,12,5.3,21.1,0.333,7.2,9.08,2008
Brad Watson,WAR,35.2,19.6,23.9,0.286,7.5,9.41,2008
Troy Strom,DBQ,16.1,23.6,23.6,0.343,7.57,7.79,2008
Michael Bartine,COR,14,25,10.3,0.32,7.71,3.99,2008
Patrick Thostenson,LOR,11.1,6.6,8.2,0.386,7.71,2.14,2008
Kyle Fuerstenburg,CEN,5.2,18.8,12.5,0.462,7.94,2.67,2008
Cole Boge,COR,36,4,12,0.333,7.94,4.25,2008
Bryan Geertgens,LOR,13.1,10.1,14.5,0.383,8,5.65,2008
Doug Eisenman,CEN,33,7.3,9.1,0.306,8.1,6.42,2008
Michael Ramos,DBQ,31,12.2,12.2,0.374,8.18,7.71,2008
Trevor Talbott,CEN,10,8.1,6.6,0.392,8.71,1.82,2008
Austin Swartz,WAR,4,17,4.3,0.421,9,3.46,2008
Ryan Raupp,LOR,1,17.4,4.3,0.579,9,3.13,2008
Jesse Sinclair,COE,1,20,0,0.333,9,19.98,2008
Jeff Weisenborn,BVU,1,0,0,0.25,9,11.67,2008
Steven Zamora,COE,12.2,40,20,0.333,9,3.34,2008
Luke Probasco,BVU,4.2,12.7,14.5,0.4,9.24,9.77,2008
Tim Bolten,SIM,8.1,16.7,27.8,0.467,9.64,7.44,2008
Ryan Rayhill,COE,15.1,12.8,10.6,0.5,9.72,10.54,2008
Mike Luce,CEN,14.2,31.5,48.1,0.286,9.98,12.23,2008
Nolan Voss,DBQ,3.1,18,29.5,0.408,10.43,9.98,2008
Jeff Greenwald,COR,5.2,15.4,30.8,0.364,10.8,6.72,2008
Drew Newhoff,WAR,9.2,17.9,21.4,0.435,11.12,6.66,2008
Cody Smith,COE,4,15.2,10.9,0.462,11.17,2.22,2008
Chris Jones,SIM,4.2,33.3,40,0.4,11.25,8.65,2008
Darin Schneider,LUT,7.1,8.7,17.4,0.476,11.57,4.96,2008
Ryan Dunn,LOR,4,8.8,8.8,0.321,13.5,15.84,2008
Mike Huyser,SIM,2.2,3.4,10.3,0.571,13.5,5.52,2008
Nick Miller,LOR,2,15.4,0,0.364,13.5,-1.13,2008
Greg Farrey,LOR,9,7.1,0,0.538,13.5,2.29,2008
Tony Foster,DBQ,7,14.9,12.8,0.525,14,2.92,2008
Jeff Boyle,COR,3,12.5,12.5,0.519,15.43,8.99,2008
Anthony Cozzi,COR,1.1,0,12.5,0.375,18,5.83,2008
Clark Egdorf,LOR,1.2,12.5,25,0.429,20.25,9.47,2008
Michael Hoffman,BVU,2.1,42.9,71.4,0.25,21.6,26.05,2008
Eric Rausch,DBQ,1,0,20,0.4,23.14,11.11,2008
Jeremy Parker,BVU,0.2,20,60,0.5,27,16.25,2008
Matt Pfister,COR,0.1,0,400,0,27,116.65,2008
Drew Fayram,WAR,76.2,0,16.7,0.833,99,116.65,2008
Cody Raisch,COE,69.2,20.5,7.8,0.274,3.05,1.49,2009
Nate Todd,LUT,90,15.5,4,0.316,3.23,0.65,2009
Jerrold Martijn,WAR,60.2,27.8,12.4,0.321,3.7,1.5,2009
Cody Hyland,LUT,62.2,19.4,9.1,0.345,3.86,1.41,2009
Jared Sass,SIM,70.2,21.4,6.1,0.405,4.02,1.18,2009
Adam Kohls,LUT,65.2,18.9,8.8,0.352,4.2,1.29,2009
Alec Lewis,COE,76.1,22.1,7,0.356,4.25,2.03,2009
Ryan Nicholson,COE,76.1,13.1,12.4,0.316,4.48,2.22,2009
Billy Schmitt,WAR,54.2,21.2,11.3,0.35,4.48,2.28,2009
Corey Eisenmann,CEN,83.1,13.9,10.3,0.347,4.61,2.43,2009
Brad Watson,WAR,61,20.1,7.4,0.378,4.86,1.07,2009
D.J. Glasgow,CEN,62.1,12.1,14.7,0.333,4.87,3.03,2009
Clint Rhodes,SIM,60,13.2,3,0.36,4.91,1.85,2009
Kevin Moriarity,LOR,62.2,13.2,9.6,0.322,4.95,2.73,2009
Kyler Laurie,LOR,60,14.6,11,0.309,5.17,2.28,2009
Ryan Wuebker,BVU,45.2,10.9,8.4,0.274,5.25,2.78,2009
Sean Raisch,COE,66.2,18.3,13.3,0.347,5.32,2.85,2009
Austin Safranski,LOR,44.2,12.2,7.2,0.34,5.4,2.81,2009
Kyle Hanna,SIM,45.2,13.7,9.7,0.313,5.64,1.55,2009
Luke Probasco,BVU,65.2,15.1,9.1,0.333,5.72,2.19,2009
Casey Korn,COR,55.1,20.1,5.4,0.343,5.76,3.35,2009
Mark Hennessy,DBQ,58,15.2,9.8,0.358,6.67,1.97,2009
Cole Boge,LOR,40.1,11.1,6.7,0.38,6.83,2.27,2009
Justin Ramos,DBQ,44.2,14.4,16.7,0.349,7.59,3.59,2009
Blayke Conway,DBQ,39.2,12.9,6.7,0.372,7.86,3.09,2009
Jordan Skaar,DBQ,34.2,13.1,9.7,0.392,7.94,3.03,2009
Adam Butler,COR,5.2,15.1,13.8,0.382,9.87,4.52,2009
Devon Archibald,BVU,4,5,10,0.211,0,2.1,2009
Patrick Grau,WAR,3,33.3,33.3,0.125,0,3.08,2009
Jarred Lackey,CEN,3,45.5,0,0.5,0,-1.39,2009
Chris Jones,SIM,1,30,0,0.143,0,-0.84,2009
Dan Grosser,WAR,1,0,0,0,0,0,2009
Clark Egdorf,LOR,1,11.1,0,0.571,0,13.41,2009
Matt Reynolds,LUT,0.2,66.7,0,0,0,-1.67,2009
Justin Brown,COR,0.1,33.3,0,0.5,0,-4.18,2009
Andrew Denton,DBQ,0.1,0,100,0,0,39.15,2009
Nathan McSpadden,DBQ,0.1,0,50,0.5,0,39.15,2009
Josh Russell,LOR,13,100,0,0,0,-8.35,2009
Augie Lindmark,LUT,6,5.8,9.6,0.265,0.69,1.31,2009
Tim Bolten,SIM,16.2,9.5,14.3,0.211,1.5,1.68,2009
Jay Martin,LOR,10.2,9.5,12.7,0.232,2.16,2.99,2009
Tregg Fay,BVU,13.1,11.4,11.4,0.289,2.53,3.67,2009
Greg Siems,LUT,3.1,27.5,2,0.324,2.7,-0.29,2009
Anthony Miller,CEN,18.2,41.7,8.3,0.429,2.7,-0.08,2009
James Stone,BVU,18,9,9,0.217,2.89,2.66,2009
Chris Bireline,BVU,16.2,13.6,7.6,0.291,3,2.69,2009
Dan Murphy,SIM,25,10.1,11.6,0.377,3.24,2.69,2009
Doug Eisenman,CEN,14.2,20.9,14.3,0.254,3.6,1.97,2009
David Bartine,COR,4.1,4.8,8.1,0.288,3.68,1.48,2009
Curt Mick,CEN,4.1,25,6.3,0.333,4.15,0.14,2009
Ryan Dahlstrom,SIM,41,9.1,0,0.5,4.15,-0.41,2009
Mike Huyser,SIM,25,19.3,7,0.416,4.39,1.01,2009
Jeff Riddle,LUT,24.2,16.3,19.4,0.284,4.68,3.48,2009
Josh Nalan,CEN,40.2,16.5,7.2,0.367,4.74,2.24,2009
Jarad George,BVU,31.1,11.5,9.2,0.324,4.87,3.85,2009
Max Flaig,LUT,44,8.7,9.4,0.319,4.88,1.72,2009
Jake Kuennen,WAR,34.2,8.4,12.8,0.313,4.91,3.24,2009
Nate Rost,WAR,9,27.7,9.5,0.347,4.93,1.21,2009
Nolan Voss,DBQ,19.2,18.4,13.2,0.4,5,4.41,2009
Teren Bladel,COE,10,13.8,11.3,0.319,5.03,1.97,2009
Jon Smith,WAR,6.2,17.5,17.5,0.303,5.4,2.94,2009
Ryan Rayhill,COE,26,10.7,21.4,0.261,5.4,9.24,2009
Kyle Dupic,BVU,11.1,14.9,13.9,0.294,5.54,2.93,2009
Shane Nelson,CEN,37,13,6.5,0.3,5.56,0.96,2009
Brandon Pietrzyk,BVU,6.1,16.3,16.3,0.336,5.59,3.77,2009
Darin Schneider,LUT,31.1,22.2,3.7,0.429,5.68,1.1,2009
Nathan Smejkal,BVU,3,8.1,8.1,0.279,5.74,2.76,2009
Cory Dawson,SIM,3,28.6,14.3,0.5,6,2.8,2009
Michael Dirkx,BVU,10.1,16.7,33.3,0.2,6,8.58,2009
Josh Barber,COE,20,7.9,13.2,0.324,6.1,3.49,2009
Alex Mallonee,LOR,11.1,7.1,17.6,0.395,6.3,5.61,2009
Danny Rose,WAR,11.1,23.6,5.5,0.439,6.35,1.36,2009
Tom Keesy,WAR,30.2,18.4,20.4,0.436,6.35,4.84,2009
Joel Pulliam,CEN,31,21,18.5,0.404,7.04,2.42,2009
Kevin Baranowski,COE,24,12.4,8.3,0.4,7.84,2.71,2009
Brandon Harrison,SIM,29.1,7.5,8.4,0.388,7.88,2.44,2009
Trevor Talbott,CEN,5.1,13.5,5.3,0.364,8.28,5.15,2009
Matt Bissen,BVU,13.1,12.5,4.2,0.381,8.44,1.81,2009
Jesse Searls,COR,13,14.3,12.5,0.404,8.78,3.27,2009
David de Besche,COR,10,18.5,27.8,0.372,9,5.57,2009
Caleb Rangel,CEN,5,27.9,14,0.484,9,2.52,2009
Greg Farrey,LOR,4,9.1,22.7,0.35,9,5.15,2009
Nick Olberding,LOR,2,10.5,21.1,0.357,9,14.18,2009
Ryan Jordan,DBQ,2,10,20,0.556,9,3.5,2009
Drew Otto,COE,2,20,10,0.429,9,8.25,2009
Michael Frazier,DBQ,2,0,12.5,0.375,9,1.96,2009
Nathan Underberg,WAR,21.2,12.5,25,0.286,9,3.5,2009
Cole Freese,DBQ,14.1,5.3,21.1,0.333,9.97,5.34,2009
Bobby Orosco,DBQ,5.1,15,26.7,0.4,10.05,6.03,2009
Drew Fayram,WAR,13,20,20,0.368,10.12,7.35,2009
Adam Harrington,COR,7.2,10.6,9.1,0.446,10.38,4.95,2009
Eric Nordstrom,LUT,7.2,21.1,15.8,0.357,10.57,7.38,2009
Nick Lanning,BVU,25,20,25.7,0.444,10.57,6.61,2009
Adam Squires,CEN,29,17.7,12.4,0.418,10.8,3.6,2009
Jeff Boyle,COR,27.1,7.9,9.5,0.364,10.86,4.82,2009
Nick Weinmeister,COR,4,15.1,20.2,0.37,10.87,4.02,2009
Brock Yotty,COE,24.1,21.4,35.7,0.455,11.25,5.25,2009
Chris Dorff,SIM,4.2,15.2,11.6,0.522,11.47,4.76,2009
Miles Swenson,SIM,10.1,13.8,6.9,0.375,11.57,4.46,2009
Zach Schwartz,LOR,11,14,14,0.488,12.19,6.89,2009
Justin Stoffa,SIM,17.1,9.1,12.7,0.396,13.09,5.77,2009
Julian Cantu,DBQ,3.1,14.9,8,0.457,13.5,4.99,2009
Frank Anshutz,COR,2.2,0,16.7,0.455,13.5,14.25,2009
Kyle Ruehle,SIM,12.2,0,23.1,0.538,13.5,5.34,2009
Paul Pichelmann,LUT,10.2,13.8,13.8,0.385,14.92,7.59,2009
Chris Handke,COR,2.1,17.8,26.7,0.405,15.19,7.41,2009
Mike Kennedy,LOR,8,18.2,18.2,0.444,15.43,4.8,2009
Charlie Muir,COR,9.2,8.9,13.3,0.585,15.75,2.52,2009
Steve Skutley,DBQ,7,5.5,10.9,0.469,15.83,8.2,2009
Eric Rausch,DBQ,2,14.7,20.6,0.407,21.86,7.95,2009
Shadi Abuhakmeh,DBQ,2.2,0,28.6,0.429,22.5,7.83,2009
Michael Loney,DBQ,6.1,18.2,54.5,0.667,23.62,9.92,2009
Louis Dettorre,DBQ,2.1,6.8,6.8,0.513,24.16,10.04,2009
Sean Ransick,COR,2.1,5.3,21.1,0.611,27,7.06,2009
Mark Blum,BVU,0.1,0,63.6,0.545,27,16.78,2009
Clay Henricksen,LOR,1.1,33.3,66.7,1,27,69.95,2009
Alex Larson,DBQ,0.2,0,8.3,0.636,47.25,16.51,2009
Chris Tibbals,CEN,47.2,0,40,0.8,67.5,39.15,2009
Chris Dorff,SIM,76,26.5,5.9,0.28,2.64,1.47,2010
Luke Probasco,BVU,77,18.9,4.7,0.325,3.32,1.8,2010
Cody Hyland,LUT,94.2,15.2,4.3,0.289,3.39,1.56,2010
Alec Lewis,COE,75.2,24.7,4.6,0.338,3.42,0.67,2010
Cody Raisch,COE,52,21.4,9.5,0.323,3.45,2.23,2010
Doug Eisenman,CEN,92.2,12.9,4.5,0.281,3.63,1.68,2010
Brad Watson,WAR,46,21.4,7.2,0.307,3.79,1.34,2010
Joel Pulliam,CEN,71.1,22.3,15.4,0.276,3.91,2.55,2010
Ryan Wuebker,BVU,39.1,15.7,6.3,0.302,4.29,2.21,2010
Cole Boge,LOR,69.1,13.1,4.2,0.375,4.35,1.82,2010
Corey Eisenmann,CEN,43.1,12.5,8.8,0.318,4.41,2.8,2010
Augie Lindmark,LUT,40.2,19.2,10.8,0.316,4.57,2.48,2010
Kevin Moriarity,LOR,56,11.2,8.2,0.306,4.65,3.27,2010
Mike Huyser,SIM,42.1,8.7,4.1,0.387,4.98,1.81,2010
Nick Panvino,LOR,63.1,15.2,6.4,0.373,5.1,1.96,2010
Kevin Baranowski,COE,44,9.4,9.1,0.309,5.4,2.58,2010
Mark Hennessy,DBQ,46.2,11.8,8.4,0.323,5.52,2.46,2010
Jeff Riddle,LUT,52.2,13.6,5.1,0.361,5.59,1.53,2010
Nate Rost,WAR,73,16,10.2,0.314,5.64,2.83,2010
Billy Schmitt,WAR,43.2,19.4,10.8,0.335,5.92,2.9,2010
Landon Klostermann,DBQ,45,12.6,11,0.357,5.98,2.66,2010
D.J. Glasgow,CEN,62,13.6,12,0.372,6,2.66,2010
Clint Rhodes,SIM,44.2,15.9,4.3,0.432,6.82,1.51,2010
Kyle Hanna,SIM,67.2,11.6,11.6,0.388,7.05,3.13,2010
Kalen Mace,DBQ,47,20.1,13.3,0.363,7.32,4.3,2010
Kyler Laurie,LOR,52.2,9,10,0.372,8.23,1.8,2010
Charlie Muir,COR,35,18.4,13.9,0.417,10.08,5.02,2010
Justin Brown,COR,1.2,11.6,11,0.421,11.31,6.86,2010
Chris Erickson,LUT,1,60,40,0,0,7.95,2010
Tyler Case,BVU,0.2,0,66.7,0,0,8.08,2010
Mark Corbeil,COR,0.1,50,0,0,0,-4.31,2010
Adam Hocking,DBQ,0,0,0,0,0,0,2010
Warren Drucker,SIM,12.2,0,0,1,0,NA,2010
Brandon Pietrzyk,BVU,4,22.7,13.6,0.235,1.42,2.28,2010
Orlando Mejia,DBQ,4,0,0,0.333,2.25,0,2010
Austin Krause,CEN,34.1,20,0,0.167,2.25,0.36,2010
Scott Benson,WAR,31.2,22.1,4.6,0.307,2.36,0.88,2010
Jarad George,BVU,35.2,12.6,8.4,0.317,2.56,2.94,2010
Kyle Ruehle,SIM,26.2,12.4,14.7,0.259,3.03,3.01,2010
Kyle Dupic,BVU,14.2,15.7,4.6,0.344,3.04,1.7,2010
Spencer Radabaugh,LOR,38,24.6,10.5,0.286,3.07,2.75,2010
James Stone,BVU,37.1,23.2,7.7,0.339,3.32,1.27,2010
Paul Brown,SIM,28.2,19.3,8.7,0.347,3.38,1.4,2010
Ryan Doty,WAR,7.1,26.6,10.1,0.304,3.45,1.36,2010
Matt Reynolds,LUT,4.2,16.1,12.9,0.231,3.68,3.38,2010
Phil Lundberg,LUT,4.1,0,0,0.313,3.86,0,2010
Joe Moen,WAR,24.1,6.3,6.3,0.267,4.15,0.78,2010
Ben Cottrell,LOR,29.2,22.3,12.6,0.333,4.81,4.58,2010
