attendance,date,game_id,game_number,home_batter_1,home_batter_2,home_batter_3,home_batter_4,home_batter_5,home_batter_6,home_batter_7,home_batter_8,home_batter_9,home_errors,home_final_score,home_finishing_pitcher,home_hits,home_line_score,home_position_1,home_position_2,home_position_3,home_position_4,home_position_5,home_position_6,home_position_7,home_position_8,home_position_9,home_starting_pitcher,home_team,home_team_long,losing_pitcher,notes,number_of_innings,play-by-play,save,site,start,time,umpires,visiting_team,visiting_team_long,visitor_batter_1,visitor_batter_2,visitor_batter_3,visitor_batter_4,visitor_batter_5,visitor_batter_6,visitor_batter_7,visitor_batter_8,visitor_batter_9,visitor_errors,visitor_final_score,visitor_finishing_pitcher,visitor_hits,visitor_line_score,visitor_position_1,visitor_position_2,visitor_position_3,visitor_position_4,visitor_position_5,visitor_position_6,visitor_position_7,visitor_position_8,visitor_position_9,visitor_starting_pitcher,winning_pitcher
400,"Apr 25, 2014",bvuwar2,2,Jackson Litterer,Tyler Mougin,Ryan Powers,Ryan Kemp,DJ Utley,Clay Emmrich,Blake Wilson,Michael Schinstock,Joe Grote,1,1,Chase Hirschauer,5,100000000,lf,ss,3b,cf,1b,dh,c,rf,2b,Parker Bolt,"wartburg college
",Wartburg College,Bolt (5-4),,9,Y,L,"Waverly, Iowa (Hertel Field)",5:20 pm   ,2:14 hr   ,HP: Jay Mara  1B: Ryan Ecklund,#18 buena vista univ.,#18 Buena Vista Univ.,Neil Marshall,Brandon Wessels,Joe Paletta,Weston Foxx,Jeremy Lambert,Tanner Truesdell,Bryce Wessels,Ryan Titman,Nick Schlecht,2,4,Lucas Hadaway,10,103000000,cf,c,1b,2b,dh,rf,3b,ss,lf,Scott Harris,Harris (6-0)
137,"Mar 30, 2014",lorsim4,2,Michael Chia,Jake Barr,Tyler Craig,Jake Esdohr,Brett Crable,Austin Burlin,Jake Anctil,Nick Anderson,Bud Smith,2,8,Michael Wilson,14,20042000X,3b,lf,1b,ss,cf,rf,dh,2b,c,Jake Scieszinski,"simpson college
",Simpson College,Walsh (0-1),,9,Y,Wilson (1),"Indianola, Iowa (McBride Field)",3:07 pm   ,1:58   ,HP: Ronald Acuna  1B: Patrick McIlhon,"loras college
",Loras College,Mark Jablonski,Mike Pudlo,Spencer Bonner,Danny Fahlgren,Tony Heiser,Anthony Flattery,Justin Montalvo,Alex Rodriguez,,0,5,Miles Canady,7,000013010,cf,ss,1b,c,lf,3b,rf,2b,,Patrick Walsh,Scieszinski (2-0)
99,"Mar 16, 2014",dbqbet2,2,Bryce Marquardt,Jarad Watts,Mike Schultz,Luke Schultz,Matt Conrad,Lars Anderson,Bret Neuville,Nik Anderson,Logan Lisle,3,11,Keaton Schut,14,107030X,cf,2b,dh,rf,lf,c,1b,ss/2b,3b,Sean Glenn,"bethel university
",Bethel University,Kopp (1-1),,7,Y,,"Fort Myers, Fla. (Terry Park, Field 4)",4 PM   ,2:00   ,,"dubuque, univ. of","Dubuque, Univ. of",Daniel Casanova,Will Fogel,Steve Ryan,Ryan Moritz,Austin Monfross,Jacob Evans,Michael Riordan,Vince Parisi,John Henderson,2,5,Mitchell Haferbier,6,0000122,cf,2b,rf,1b,3b,lf,dh,c,ss,Alan Kopp,Sean Glenn (1-0)
50,"Apr 01, 2014",dbqlor1,1,Daniel Casanova,Will Fogel,Austin McWhite,Steve Ryan,Dalton Garst,Jacob Evans,Gaetano Florio,Vince Parisi,Ryan Karrick,3,4,Reed Stumpf,7,0001021,cf,2b,1b,rf,dh,lf,3b,c,ss,Tyler Trifiletti,"dubuque, univ. of","Dubuque, Univ. of",Trifiletti (1-2),,7,Y,,"Dubuque, Iowa (UD Baseball Field)",1:00 pm   ,1:50   ,HP: Joe Saldivar  1B: Dennis Schroed,"loras college
",Loras College,Mark Jablonski,Mike Pudlo,Patrick Walsh,Eric DeSousa,Danny Fahlgren,Tony Heiser,Niko Andriotis,Anthony Flattery,Alex Rodriguez,3,9,Matt Kass,10,0013320,cf,ss,1b,dh,c,rf,lf,3b,2b,Jeremy Gerardy,Gerardy (1-2)
68,"Apr 01, 2014",bvucoe1,1,Brandon Wessels,Neil Marshall,Joe Paletta,Weston Foxx,Jeremy Lambert,Bryce Wessels,Tanner Truesdell,Devon Harms,Ryan Titman,2,2,Lucas Hadaway,8,0010001,rf,cf,1b,2b,dh,3b,lf,c,ss,Tyson Valentine,#25 buena vista univ.,#25 Buena Vista Univ.,Valentine (1-1),,7,Y,Tickle (2),"Storm Lake, Iowa (BVU/SL Field)",3:30pm   ,2:00   ,HP: Mark Harris  1B: Dustin Moo,"coe college
",Coe College,Ben Larison,Craig Konrardy,Jory Heckenberg,Colton Janssen,Cole Tomlinson,Michael Goerdt,Michael Redmond,Brett Slager,,1,5,Jake Tickle,5,0020003,2b,ss,1b,3b,c,lf,cf,rf,,AJ Reuter,Reuter (3-1)
65,"Apr 08, 2014",lutwar3,1,Andy Briggs,Eric Pittman,Czenvic Rojer,Brian Paulsrud,David Lowe,Matt Larson,Carlos Pineda,Mitch Knippenberg,Joel Martin,0,1,Andrew Withers,7,0100000,cf,ss,rf,1b,3b,lf,dh,c,2b,Teddy Klingsporn,"luther college
",Luther College,Klingsporn (1-1),,7,Y,,"Decorah, Iowa (Luther College)",1:00 pm   ,1:40   ,HP: Russ Lundquist  1B: Gary LaChanc,"wartburg college
",Wartburg College,Jackson Litterer,Tyler Mougin,Ryan Powers,Ryan Kemp,Blake Wilson,Clay Emmrich,Michael Schinstock,Joe Grote,,0,2,Gavin Nadermann,1,1000010,lf,ss,3b,cf,c,1b,rf,2b,,DJ Utley,Utley (1-1)
100,"Feb 22, 2014",warwus,,Ryan Kemp,Joe Grote,Ryan Powers,DJ Utley,Blake Wilson,Michael Schinstock,Jake Raecker,Tyler Mougin,Craig Kerper,5,2,DJ Utley,9,000000020,cf,2b,3b,dh/p,c,1b,rf,ss,lf,Ben Rettenmeier,"wartburg college
",Wartburg College,Utley (0-1),,9,Y,,"Memphis, Tenn. (Stauffer Field)",2 p.m.   ,2 hr 45   ,,washington-st. louis,Washington-St. Louis,Golembo,Billig,Lowery,Kessinger,Dwoskin,Deger,Price,Reid,Goldstick,1,4,Clarke,11,100000102,rf,cf,3b,1b,dh,lf,c,2b,ss,Bonser,Clarke (1-0)
50,"Mar 12, 2014",simcrwn1,1,Blake Jobe,Jacob Tarver,Steve Hartman,Daryl Taylor,Zack Sharp,Travis Walker,Harry Ballantyne,Nick Gillette,Ryan Denison,2,1,Rob Smartnick,7,1000000,lf,cf,ss,3b,dh,c,rf,1b,2b,Josh Flanders,crown college,Crown College,Flanders (0-1),,7,Y,,"Tucson, Ariz.",9:00 am   ,1:36   ,,"simpson college
",Simpson College,Michael Chia,Jake Barr,Jake Esdohr,Nick Anderson,Josh Pirtle,Bud Smith,Austin Burlin,Gage Reis,Brett Crable,3,19,Eric Jones,20,2800126,3b,lf,ss,2b,rf,c,dh,1b,cf,Jake Scieszinski,Scieszinski (1-0)
51,"Apr 07, 2014",bvucen3,1,Neil Marshall,Brandon Wessels,Joe Paletta,Weston Foxx,Jeremy Lambert,Bryce Wessels,Tanner Truesdell,Marcus Stoulil,Ryan Titman,2,7,Ian Grigsby,11,230020X,cf,c/lf,1b,2b,dh,3b,rf,lf,ss,Tyson Valentine,"buena vista university
",Buena Vista Univ.,Dusil (1-2),,7,Y,Grigsby (4),"Storm Lake, Iowa (BVU/SL Field)",3:30pm   ,1:15   ,HP: Aaron Christians  1B: Randy Bertra,"central college
",Central College,Jordan Judkins,Dakotah Wolken,Robbie Rushing,Adam Ariola,Zach Brown,Andrew O'Toole,Zach Zylstra,Grant Seuferer,Jace Ahrendsen,1,6,Mark Schroeder,9,1001130,ss,cf,dh,2b,3b,rf,lf,1b,c,Ryan Dusil,Beatty (2-0)
91,"Mar 09, 2014",cengrn3,2,Kainoa Inafuku,Anthony Mack,Eli Freese,Walker Bell,Matt Schaeffer,Matt Godinsky,Niko Takayesu,Ryan Penaflor,Steven Petritis,1,6,Ian Sales,8,0121200,3b,ss,dh,1b,c,rf,2b,lf,cf,Sam Tinkham,"grinnell college
",Grinnell College,Jacobson (0-1),,7,Y,,"Springfield, Ill. (Sacred Heart-Griffin)",3:15 pm   ,2 hrs   ,HP: Dave Logan  1B: Terry Wolpert,"central college
",Central College,Jordan Judkins,Adam Ariola,Andrew O'Toole,Zach Brown,Jace Ahrendsen,Andy Carr,Jake Effron,Kirby Coppess,,1,13,Dakotah Wolken,17,0210235,ss,2b,rf,1b,c,lf,cf,3b,,Robbie Rushing,Wolken (1-0)
190,"Apr 12, 2014",dbqwar4,2,Eddie Pablo,Dalton Garst,Daniel Casanova,Austin McWhite,Vince Parisi,Michael Salazar,Mac Shepherd,Steve Ryan,Ryan Karrick,0,5,Reed Stumpf,11,10220000X,2b,dh,cf,1b,c,lf,3b,rf,ss,Reed Stumpf,"dubuque, univ. of","Dubuque, Univ. of",Hirschauer (1-1),,9,Y,,"Dubuque, Iowa (UD Baseball Field)",1:15 pm   ,2:10   ,HP: Mike Gansemer  1B: Chris Szolyga,"wartburg college
",Wartburg College,Jackson Litterer,Tyler Mougin,Ryan Powers,Ryan Kemp,DJ Utley,Clay Emmrich,Blake Wilson,Michael Schinstock,Joe Grote,2,4,DJ Utley,11,100001002,lf,ss,3b,cf,1b/p,dh,c,rf/1b,2b,Chase Hirschauer,Stumpf (1-2)
65,"May 02, 2014",dbqlut1,1,Andy Briggs,Matt Larson,Czenvic Rojer,David Lowe,Mitch Knippenberg,Eric Pittman,Brian Paulsrud,Aldon Severson,Joel Martin,0,1,Alec Knop,6,010000X,cf,lf,rf,3b,c,ss,dh,1b,2b,Alec Knop,"luther college
",Luther College,Eastman (3-5),,7,Y,,"Decorah, Iowa (Luther College)",1:30 pm   ,1:30   ,HP: Forrest Miller  1B: Nick Willenborg,"dubuque, univ. of","Dubuque, Univ. of",Daniel Casanova,Will Fogel,Austin McWhite,Vince Parisi,Eddie Pablo,Dalton Garst,Jacob Evans,Steve Ryan,Ryan Karrick,1,0,Josh Eastman,3,0000000,cf,2b,1b,c,3b,dh,lf,rf,ss,Josh Eastman,Knop (6-1)
,"Mar 01, 2014",bvuust2,,Brandon Wessels,Tanner Truesdell,Joe Paletta,Jeremy Lambert,Weston Foxx,Ryan Titman,Bryce Wessels,Neil Marshall,Nick Schlecht,4,6,Justin Lange,6,001000410,c,rf,1b,dh,2b,ss,3b,lf,cf,Kendall Hazel,"buena vista university
",Buena Vista Univ.,Hazel (0-1),,9,Y,,"Tulsa, Okla. (ONEOK Field)",10 a.m.   ,2:58   ,,st. thomas (minn.),St. Thomas (Minn.),Ben Podobinski,Jack Hogan,Tyler Peterson,J.D. Dorgan,Tim Kuzniar,Mac Tobin,Luc Henke,Sam Miller,Brady Johnson,5,12,Max Fahlsing,11,312005001,cf,rf,1b,c,lf,3b,dh,2b,ss,Steve Maher,Steve Maher (1-0)
63,"May 09, 2014",14iiac05,,Josh Pirtle,Brett Crable,Tyler Craig,Michael Chia,Jake Barr,Jake Scieszinski,Jake Esdohr,Bud Smith,Austin Burlin,1,4,Gage Reis,9,01020100X,rf,cf,1b,3b,lf,2b,ss,c,dh,Gage Reis,"simpson college
",Simpson College,Reuter (4-4),,9,Y,,"Cedar Rapids, Iowa (Veterans Mem. Stad.)",10:00 AM   ,1:56   ,HP: Kevin Ferris  1B: Ryan Farnsworth  2B: Paul Keitel,"coe college
",Coe College,Michael Redmond,Ben Larison,Craig Konrardy,Cole Tomlinson,Jory Heckenberg,Michael Goerdt,Brett Slager,Thomas Schaedel,,2,2,Jake Tickle,7,001100000,cf,3b,ss,c,1b,lf,rf,2b,,AJ Reuter,Reis (4-5)
55,"Mar 19, 2014",cenmuwi1,1,Jordan Judkins,Adam Ariola,Robbie Rushing,Andrew O'Toole,Zach Brown,Jace Ahrendsen,Dakotah Wolken,Jake Effron,Kirby Coppess,2,7,Mack Boothe,15,0011122,ss,2b,dh,rf,1b,c,cf,lf,3b,Ryan Dusil,"central college
",Central College,Carr (0-1),,7,Y,,"Tucson, Ariz. (Kino Sports Complex)",10:00 AM   ,2:18   ,,marian univ. (wis.),Marian Univ. (Wis.),Miklavcic,Gellinger,DeBoer,Langley,Schreiner,Ryan,Blise,Oren,Eagan,2,14,Schaffhauser,13,2003180,cf,rf,ss,1b,dh,lf,c,3b,2b,Forkert,Forkert (1-0)
74,"Apr 19, 2014",bvudbq4,2,Neil Marshall,Brandon Wessels,Joe Paletta,Weston Foxx,Jeremy Lambert,Eric Gurbacki,Nick Schlecht,Ryan Duncan,Ryan Titman,4,17,Jake Bjorkgren,17,079010000,cf,c,1b,2b,dh,3b,lf,rf,ss,Tyson Valentine,#21 buena vista univ.,#21 Buena Vista Univ.,Stumpf (),,9,Y,,"Storm Lake, Iowa (BVU/SL Field)",1:00pm   ,2:30   ,HP: Brandon Moore  1B: Dustin Moo,"dubuque, univ. of","Dubuque, Univ. of",Daniel Casanova,Will Fogel,Austin McWhite,Vince Parisi,Michael Salazar,Noah Burdt,Steve Ryan,Gaetano Florio,Ryan Karrick,0,10,Daniel Karnick,11,000440002,cf,2b,1b,c,rf,dh,lf,3b,ss,Reed Stumpf,Bjorkgren (4-1)
50,"Mar 15, 2014",cenmac,,Jordan Judkins,Adam Ariola,Andrew O'Toole,Zach Brown,Jace Ahrendsen,Zach Zylstra,Grant Seuferer,Dakotah Wolken,,0,15,Mark Schroeder,17,10034124X,ss,2b,rf,3b,c,lf,1b,cf,,Robbie Rushing,"central college
",Central College,Kleschen (),,9,Y,Schroeder (1),"Tucson, Ariz. (Kino Sports Complex)",3 p.m.   ,3:00   ,,macalester college,Macalester College,Jonathan Melms,Ross Bronfenbrenner,Tom Forster,Colin Carpenter,Phillip Stuhr,Justin Sims,Scott Foltz,Peter Bertel,Aidan Hennen,3,10,Griffen Gallagher,15,002130202,ss,lf,dh,3b,2b,1b,c,rf,cf,Justin Kleschen,Rushing (1-0)
90,"Mar 30, 2014",cendbq3,1,Daniel Casanova,Will Fogel,Austin McWhite,Steve Ryan,Jacob Evans,Ryan Moritz,Gaetano Florio,Vince Parisi,Ryan Karrick,2,2,Justin Naval,5,100100X,cf,2b,1b,rf,lf,dh,3b,c,ss,Harley Miller,"dubuque, univ. of","Dubuque, Univ. of",McKown (1-2),,7,Y,Naval (3),"Dubuque, Iowa (UD Baseball Field)",12:00 pm   ,1:25   ,HP: Rodney Davis  1B: Rory Holland,"central college
",Central College,Jordan Judkins,Adam Ariola,Robbie Rushing,Andrew O'Toole,Zach Brown,Jace Ahrendsen,Grant Seuferer,Jake Effron,Dakotah Wolken,0,1,Judson McKown,4,0001000,ss,2b,dh,rf,3b,c,1b,lf,cf,Judson McKown,Miller (1-1)
50,"Mar 14, 2014",cenblc,,Jordan Judkins,Adam Ariola,Robbie Rushing,Andrew O'Toole,Zach Brown,Jace Ahrendsen,Andy Carr,Kirby Coppess,Dakotah Wolken,1,9,Matt Schissel,8,07010100X,ss,2b,dh,rf,1b,c,lf,3b,cf,Ryan Dusil,"central college
",Central College,Dean (),,9,Y,,"Tucson, Ariz. (Kino Sports Complex)",1:30 pm   ,  ,,"bethany lutheran
",Bethany Lutheran,"Tuholsky, Joe","Sellers, Mitch","Herd, Lucas","Hebrink, Tyler","Gass, Dylan","Geiger, Adam","Ferm, Cory","Grose, Nolan","DeBeau, Dustin",3,4,"Nett, Arlen",9,000000103,2b,ss,cf,1b,3b,lf,dh,rf,c,"Dean, James",Dusil (1-0)
182,"Apr 06, 2014",coedbq4,2,Ben Larison,Craig Konrardy,AJ Reuter,Colton Janssen,Michael Goerdt,Michael Redmond,Cal Kragenbrink,Cole Tomlinson,Andrew Brierton,4,10,Tyler Hixson,12,02004202X,2b,ss,1b,3b,lf,cf,dh,rf,c,Michael Golinski,"coe college
",Coe College,,,9,Y,Van Egtern (0-1),"Cedar Rapids, Iowa (Daniels Park)",3:35 pm   ,2:20   ,HP: Paul Keitel  1B: Kevin F,"dubuque, univ. of","Dubuque, Univ. of",Daniel Casanova,Eddie Pablo,Austin McWhite,Steve Ryan,Michael Salazar,John Henderson,Mac Shepherd,Vince Parisi,Gaetano Florio,2,2,Joey Kilsdonk,7,000000020,cf,2b,1b,rf,lf,dh,3b,c,ss,Trent Van Egtern,"Golinski, M"
71,"Apr 05, 2014",lorlut2,2,Mark Jablonski,Mike Pudlo,Patrick Walsh,Eric DeSousa,Danny Fahlgren,Tony Heiser,Niko Andriotis,Nick Battalini,Alex Rodriguez,2,14,Miles Canady,13,14050013X,cf,ss,3b,1b,c,rf,dh,lf/rf,2b,Adam Schwoebel,"loras college
",Loras College,Peterson (1-2),,9,Y,,"Dubuque, Iowa (Petrakis Park)",4:30 PM   ,2:25   ,HP: Paul Keitel  1B: Taylor Umland,"luther college
",Luther College,Andy Briggs,Joel Martin,Czenvic Rojer,Brian Paulsrud,Mitch Knippenberg,Aldon Severson,Carlos Pineda,Zach Hendrikson,Jon Opdahl,3,8,Ben Voss,10,100001420,cf,2b,rf,dh,c,1b,3b,lf,ss,Blake Peterson,Schwoebel (2-1)
46,"Apr 08, 2014",lutwar4,2,Andy Briggs,Eric Pittman,Czenvic Rojer,David Lowe,Aldon Severson,Matt Larson,Carlos Pineda,Zach Lashbrook,Joel Martin,4,10,Andrew Withers,13,120001510,cf,ss,rf,3b,1b,lf,dh,c,2b,Phillip LaPointe,"luther college
",Luther College,McKinney (0-4),,9,Y,,"Decorah, Iowa (Luther College)",3:00PM   ,3:10   ,HP: Gary LaChance  1B: Russ Lundquist,"wartburg college
",Wartburg College,Tyler Mougin,Joe Grote,Ryan Powers,Ryan Kemp,DJ Utley,Blake Wilson,Clay Emmrich,Michael Schinstock,Craig Kerper,0,13,Max Langheinrich,15,210000280,ss,2b,3b,cf,1b,c,dh,rf,lf,Alex Sharp,Nadermann (1-0)
150,"Apr 18, 2014",cencoe1,1,Jordan Judkins,Kirby Coppess,Robbie Rushing,Adam Ariola,Grant Seuferer,Andrew O'Toole,Zach Zylstra,Jace Ahrendsen,Dakotah Wolken,1,2,Judson McKown,6,001001X,ss,3b,dh,2b,1b,rf,lf,c,cf,Judson McKown,"central college
",Central College,Alberhasky (2-4),,7,Y,,"Pella, Iowa (Kuyper Athl. Complex)",1 p.m.   ,1:27   ,HP: Jon Fye  1B: Tim Riskowsk,"coe college
",Coe College,Ben Larison,Craig Konrardy,AJ Reuter,Colton Janssen,Michael Goerdt,Michael Redmond,Jory Heckenberg,Cole Tomlinson,Thomas Schaedel,3,1,Connor Alberhasky,6,0000010,3b,ss,1b,rf,lf,cf,dh,c,2b,Connor Alberhasky,McKown (3-3)
,"Mar 23, 2014",lutcuw2,2,Andy Briggs,Eric Pittman,Czenvic Rojer,Carlos Pineda,Mitch Knippenberg,Matt Larson,Brian Paulsrud,Dakotah Rostad,Joel Martin,2,0,Nate Witham,7,0000000,cf,ss,rf,dh,c,lf,1b,3b,2b,Matt McKinney,"luther college
",Luther College,McKinney (0-1),,7,Y,,"Tucson, Ariz. (Kino Sports Complex)",  ,  ,,concordia (wis.),Concordia (Wis.),"Buuck, Taylor","Sharon, Joel","Seifert, Brandon","Hegeman, Kyle","Thomas, Bryan","Johnson, Alex","Scheuerlein, Luke","Mathiebe, Jordan","Dubnicka, Mitchell",1,8,"Heideman, Andrew",10,4200020,2b,lf,ss,dh,c,1b,rf,cf,3b,"Heideman, Andrew",Heideman (1-0)
63,"Apr 02, 2014",simgrn,,Niko Takayesu,Matt Schaeffer,Anthony Mack,Eli Freese,Walker Bell,Ryan Penaflor,Kainoa Inafuku,Adam Renfro,Teague Towner,1,2,Andrew Kelley,4,101000000,2b,c,cf,dh,1b,lf,3b,rf,ss,Will Pahos,"grinnell college
",Grinnell College,Kelley (3-1),,9,Y,Pennings (1),"Grinnell, Iowa (Pioneer Park)",2:45   ,1:48   ,,"simpson college
",Simpson College,Brett Crable,Jake Barr,Tyler Craig,Michael Chia,Jake Esdohr,Austin Burlin,Jake Scieszinski,Nick Anderson,Bud Smith,2,3,Matt Pennings,7,000000201,cf,lf,1b,3b,ss,rf,2b/p,dh,c,Aaron Young,Scieszinski (3-0)
60,"Apr 17, 2014",lordom2,,"Varallo, Tim","Smith, Thomas","Krasny, Joe","Schuster, Cody","Becquey, Quentin","Lyons, Joe","DiCristofano, Ryan","McKinney, Lucas","Schwer, Kevin",4,1,"Freeman, Ryan",9,000000010,lf,ss,cf,dh,1b,2b,rf,c,3b,"Milne Rojek, Quinlan",dominican (ill.),Dominican (Ill.),Milne Rojek (1-2),,9,Y,,"Schaumburg, Ill. (Boomers Stadium)",3:04 PM   ,2:08   ,HP: Nicholas Baffes  1B: Bob Copa,"loras college
",Loras College,Mark Jablonski,Mike Pudlo,Patrick Walsh,Eric DeSousa,Niko Andriotis,Nick Battalini,Danny Fahlgren,Lucas Jacque,Alex Rodriguez,1,5,Jeremy Gerardy,12,000101300,cf,ss,3b,1b,lf,rf,dh,c,2b,Matt Kass,Massner (1-0)
,"Mar 30, 2014",lorsim3,1,Michael Chia,Jake Barr,Tyler Craig,Jake Esdohr,Brett Crable,Austin Burlin,Bud Smith,Jake Scieszinski,Taylor Harmon,2,5,Brock Borgeson,7,004100X,3b,lf,1b,ss,cf,rf,c,2b,dh,Gage Reis,"simpson college
",Simpson College,Norton (0-1),,7,Y,Borgeson (1),"Indianola, Iowa (McBride Field)",1:06 pm   ,1:45   ,HP: Patrick McIlhon  1B: Ronald Acuna,"loras college
",Loras College,Mark Jablonski,Tony Heiser,Patrick Walsh,Danny Fahlgren,Cole Reeg,Eric DeSousa,Mike Pudlo,Anthony Flattery,Alex Rodriguez,4,4,Connor Schreck,6,0012100,cf,lf,1b,c,rf,dh,ss,3b,2b,Jake Norton,Reis (2-2)
,"Mar 24, 2014",lutlaw,,Andy Briggs,Eric Pittman,Czenvic Rojer,Carlos Pineda,Zach Hendrikson,Matt Larson,Brian Paulsrud,Zach Lashbrook,Joe Silversmith,3,13,Andrew Withers,17,2221020400,cf,ss,dh,3b,rf,lf,1b,c,2b,Teddy Klingsporn,"luther college
",Luther College,Withers,,10,Y,,"Tucson, Ariz. (Kino Sports Complex)",  ,  ,,"lawrence university
",Lawrence University,Gabe Warshaw,Jake Gordon,Joel Birch,Aaron Benz,Sam Kossow,Luke Zablocki,Davis Ogilvie,Marc Linger,Dan Taylor,4,14,Andrew Doares,19,3401001401,ss,cf,2b,rf,1b,dh,3b,c,lf,John Doran,Doares
50,"Mar 08, 2014",simust2,2,Brett Crable,Jake Barr,Tyler Craig,Jake Esdohr,Jake Scieszinski,Josh Pirtle,Michael Chia,Bud Smith,Austin Burlin,2,1,Kyle Helmerson,5,0000001,cf,lf,1b,ss,2b,rf,3b,c,dh,Gage Reis,"simpson college
",Simpson College,Reis (0-1),,7,Y,C,"Tucson, Ariz.",6:30 pm   ,  ,,#9 st. thomas (minn.),#9 St. Thomas (Minn.),Ben Podobinski,Jack Hogan,Tim Kuzniar,J.D. Dorgan,Ty Vincent,Ryan Gerber,Brady Johnson,Sam Miller,Kelvin Stroik,0,2,Caleb Fernholz,6,0001001,cf,3b,lf,c,1b,dh,ss,2b,rf,Jared Dehmer,Jared Dehmer (1-0)
,"Mar 23, 2014",coesim1,1,Ben Larison,Cole Tomlinson,Craig Konrardy,AJ Reuter,Jory Heckenberg,Michael Goerdt,Andrew Brierton,Michael Redmond,Derek Yoder,1,1,Connor Alberhasky,5,1000000,ss,rf,3b,1b,dh,lf,c,cf,2b,Connor Alberhasky,"coe college
",Coe College,Alberhasky (1-1),,7,Y,,"Indianola, Iowa (McBride Field)",2:05 pm   ,1:36   ,HP: Ryan Farnsworth  1B: Brett Miell,"simpson college
",Simpson College,Michael Chia,Jake Barr,Tyler Craig,Jake Esdohr,Nick Anderson,Josh Pirtle,Bud Smith,Jake Scieszinski,Brett Crable,2,2,Matt Pennings,4,2000000,3b,lf,1b,ss,dh,rf,c,2b,cf,Matt Pennings,Pennings (2-1)
100,"May 02, 2014",cenwar2,2,Jordan Judkins,Andrew O'Toole,Robbie Rushing,Adam Ariola,Zach Brown,Zach Zylstra,Jake Effron,Kirby Coppess,Jace Ahrendsen,1,2,Andy Carr,10,000001001,ss,rf,dh,2b,1b/3b,lf,cf,3b,c,Dakotah Wolken,"central college
",Central College,Wolken (5-2),,9,Y,,"Pella, Iowa (Kuyper Athl. Complex)",2:37 pm   ,2:11   ,HP: Paul Keitel  1B: Kevin F,"wartburg college
",Wartburg College,Jackson Litterer,Joe Grote,Ryan Powers,DJ Utley,Blake Wilson,Jacob Thumann,Ryan Kemp,Michael Schinstock,Tyler Mougin,1,5,Parker Bolt,9,000023000,lf,2b,3b,1b,c,dh,cf,rf,ss,Parker Bolt,Bolt (6-4)
,"Apr 11, 2014",bvusim1,1,Michael Chia,Jake Barr,Tyler Craig,Brett Crable,Jake Scieszinski,Jake Esdohr,Austin Burlin,Bud Smith,Josh Pirtle,0,0,Gage Reis,3,0000000,3b,lf,1b,cf,2b,ss,dh,c,rf,Gage Reis,"simpson college
",Simpson College,Reis (2-3),,7,Y,,"Indianola, Iowa (McBride Field)",3:37 pm   ,1:32   ,HP: Bret Miell  1B: Josh Mara,#24 buena vista univ.,#24 Buena Vista Univ.,Neil Marshall,Brandon Wessels,Joe Paletta,Weston Foxx,Jeremy Lambert,Bryce Wessels,Schuyler Radke,Ryan Titman,Nick Schlecht,0,4,Jon Ringblom,5,4000000,cf,rf,1b,2b,dh,3b,c,ss,lf,Jon Ringblom,Ringblom (4-1)
203,"Apr 06, 2014",coedbq3,1,Ben Larison,Craig Konrardy,Colton Janssen,Michael Goerdt,Michael Redmond,Cole Tomlinson,Andrew Brierton,Cal Kragenbrink,,0,8,Jake Tickle,9,111140X,2b,ss,3b,lf,cf,rf,c,1b,,AJ Reuter,"coe college
",Coe College,Miller (1-2),,7,Y,,"Cedar Rapids, Iowa (Daniels Park)",1:00 pm   ,2:00   ,HP: Kevin Ferris  1B: Paul Keitel,"dubuque, univ. of","Dubuque, Univ. of",Daniel Casanova,Eddie Pablo,Austin McWhite,Steve Ryan,Michael Salazar,Noah Burdt,Austin Monfross,Vince Parisi,Ryan Karrick,3,3,Mitchell Haferbier,8,0001101,cf,2b,1b,rf,lf,dh,3b,c,ss,Harley Miller,Reuter (4-1)
125,"Mar 30, 2014",cendbq4,2,Daniel Casanova,Will Fogel,Austin McWhite,Steve Ryan,Jacob Evans,Dalton Garst,Gaetano Florio,Vince Parisi,Ryan Karrick,4,2,Alan Kopp,8,01000100000,cf,2b,1b,rf,lf,dh,3b,c,ss,Trent Van Egtern,"dubuque, univ. of","Dubuque, Univ. of",Kopp (1-3),,11,Y,,"Dubuque, Iowa (UD Baseball Field)",2:10 pm   ,2:20   ,HP: Rory Holland  1B: Rodney Dav,"central college
",Central College,Jordan Judkins,Adam Ariola,Robbie Rushing,Andrew O'Toole,Zach Brown,Grant Seuferer,Jace Ahrendsen,Zach Zylstra,Dakotah Wolken,1,3,Andy Carr,9,00010001001,ss,2b,dh,rf,3b,1b,c,lf,cf,Blake Judkins,Carr (1-0)
